ELI,title,keywords,ChapterTitle,start_char,end_char
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Zasady odpowiedzialności karnej,9813,17684
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Formy popełnienia przestępstwa | Wyłączenie odpowiedzialności karnej,17684,26279
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Kary,26279,31925
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Środki karne (Część 1/2),31925,46925
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Środki karne (Część 2/2),46925,49405
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",a,49405,61356
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Zasady wymiaru kary i środków karnych,61356,75949
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Powrót do przestępstwa | Środki związane z poddaniem sprawcy próbie (Część 1/2),75949,90949
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Powrót do przestępstwa | Środki związane z poddaniem sprawcy próbie (Część 2/2),90949,94911
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Zbieg przestępstw oraz łączenie kar i środków karnych,94911,102737
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Środki zabezpieczające,102737,109448
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przedawnienie | Zatarcie skazania,109448,115536
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Odpowiedzialność za przestępstwa popełnione za granicą,115536,122148
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Objaśnienie wyrażeń ustawowych,122148,132353
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo","Stosunek do ustaw szczególnych | Przestępstwa przeciwko pokojowi, ludzkości oraz przestępstwa wojenne",132353,142513
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko Rzeczypospolitej Polskiej,142513,150958
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obronności | Przestępstwa przeciwko życiu i zdrowiu,150958,165719
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko bezpieczeństwu powszechnemu,165719,173214
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko bezpieczeństwu w komunikacji,173214,180173
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko środowisku,180173,187468
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wolności,187468,192598
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wolności sumienia i wyznania | Przestępstwa przeciwko wolności seksualnej i obyczajności,192598,201881
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko rodzinie i opiece,201881,206984
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko czci i nietykalności cielesnej | Przestępstwa przeciwko prawom osób wykonujących pracę zarobkową,206984,212775
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko działalności instytucji państwowych oraz samorządu terytorialnego,212775,225650
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wymiarowi sprawiedliwości,225650,238190
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wyborom i referendum | Przestępstwa przeciwko porządkowi publicznemu,238190,250813
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko ochronie informacji,250813,256869
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko wiarygodności dokumentów,256869,263640
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko mieniu,263640,274108
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obrotowi gospodarczemu i interesom majątkowym w obrocie cywilnoprawnym (Część 1/2),274108,289108
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obrotowi gospodarczemu i interesom majątkowym w obrocie cywilnoprawnym (Część 2/2),289108,291245
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obrotowi pieniędzmi i papierami wartościowymi | Przepisy ogólne dotyczące żołnierzy,291245,301818
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko obowiązkowi pełnienia służby wojskowej | Przestępstwa przeciwko zasadom dyscypliny wojskowej,301818,307685
DU/2024/17,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Kodeks karny,"kodeks karny,karne prawo",Przestępstwa przeciwko zasadom postępowania z podwładnymi | Przestępstwa przeciwko zasadom obchodzenia się z uzbrojeniem i uzbrojonym sprzętem wojskowym | Przestępstwa przeciwko zasadom pełnienia służby | Przestępstwa przeciwko mieniu wojskowemu,307685,313223
